Image,Name,Rating,Number of Episodes,Description
"https://m.media-amazon.com/images/M/MV5BYWQwNjk3MDItNDAxMS00YTQ2LWEyNDctMGYyZTE5OGQxNGQ1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",27. Mushoku Tensei: Jobless Reincarnation,8.3, (25K),"A 34-year-old underachiever gets run over by a bus, but his story isn't over. Reincarnated as an infant, he'll embark on an epic adventure."
"https://m.media-amazon.com/images/M/MV5BMTU3ZTdiOGQtYmYwYy00OGM5LThmNjMtZGJmNTVlZjk1ZmEyXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg",28. Cowboy Bebop,8.9, (147K),The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
"https://m.media-amazon.com/images/M/MV5BZDkwNjc0NWEtNzJlOC00N2YwLTk4MjktZGFlZDE2Y2QzOWI0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",29. Spy x Family,8.3, (45K),"A spy on an undercover mission gets married and adopts a child as part of his cover. His wife and daughter have secrets of their own, and all three must strive to keep together."
"https://m.media-amazon.com/images/M/MV5BNTk4MWYwNmUtODFjNC00NWJhLWExNGYtMGU4YmRlNzEwOTY1XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",30. Code Geass,8.7, (86K),"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire."
"https://m.media-amazon.com/images/M/MV5BNzMwOGQ5MWItNzE3My00ZDYyLTk4NzAtZWIyYWI0NTZhYzY0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",31. One Punch Man,8.7, (194K),"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
"https://m.media-amazon.com/images/M/MV5BZjZjZGI3ZDQtODNmZC00NjE0LTlmYTUtOTljMWI2YjNmMTQ0XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg",32. Neon Genesis Evangelion,8.5, (92K),A teenage boy finds himself recruited as a member of an elite team of pilots by his father.
"https://m.media-amazon.com/images/M/MV5BNTMzNjE0N2ItNjFiYi00NmIzLTk1MzMtZWFjNThjMzI5MTJlXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",33. Gintama,8.7, (17K),"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can."
"https://m.media-amazon.com/images/M/MV5BOTFiNzRiOWEtYTQwNy00NmRiLWE0ZWYtNTE0YjExZjFmZjkwXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg",34. A Silent Voice: The Movie,8.1, (110K),"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to make amends."
"https://m.media-amazon.com/images/M/MV5BMzAwNDIzMzEtZDZkNC00ZDQ4LTk3ZDMtZjVhMTU2YzgzZTZiXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",35. Perfect Blue,8.0, (103K),"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
"https://m.media-amazon.com/images/M/MV5BYjYxMWFlYTAtYTk0YS00NTMxLWJjNTQtM2E0NjdhYTRhNzE4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",36. Haikyu!!,8.7, (40K),"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club."
